Id,Zona,Numero,Nombre,PoblacionTotal,Varones,Mujeres,Edad 0-4,Edad 5-9,Edad 10-14,Edad 15-19,Edad 20-24,Edad 25-29,Edad 30-34,Edad 35-39,Edad40-44,Edad 45-49,Edad 50-54,Edad 55-59,Edad 60-64,Edad 65-69,Edad 70-74,Edad 75-79,Edad 80-84,Edad 84+,Hogares,HogaresNBI,% Hogares con NBI,PoblacionSinCobertura,PorcentajeSinCobertura
Clínica Mehelar#78#1,1,0,Clínica Mehelar#78#1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Clínica San Nicolás#22#5,5,0,Clínica San Nicolás#22#5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Infantil Municipalidad de Cordoba#77#5,5,0,Hospital Infantil Municipalidad de Cordoba#77#5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Materno Neonatal “Min. Prof. Dr. Ramón Carrillo”#94#1,1,0,Hospital Materno Neonatal “Min. Prof. Dr. Ramón Carrillo”#94#1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Municipal Villa el Libertador Principe de Asturias#07#2,2,0,Hospital Municipal Villa el Libertador Principe de Asturias#07#2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Municipal Villa el Libertador Principe de Asturias#67#6,6,0,Hospital Municipal Villa el Libertador Principe de Asturias#67#6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Nuestra Señora de la Misericordia#84#2,2,0,Hospital Nuestra Señora de la Misericordia#84#2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Provincial del Suroeste Eva Perón#19#1,1,0,Hospital Provincial del Suroeste Eva Perón#19#1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Provincial del Suroeste Eva Perón#40#4,4,0,Hospital Provincial del Suroeste Eva Perón#40#4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
Hospital Rawson#32#2,2,0,Hospital Rawson#32#2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.00,NULL,0%
