Centro,Direccion,Longitud,Latitud,Tipo,Id,Ciudad,Horario,institucion
CAPS Ciudad Villa Retiro,Mzna 14,-64.1439427051887,-31.3471030376843,CAPS,CAPS Ciudad Villa Retiro,"Córdoba, Argentina",NULL,CS 094 - Parque Liceo III Seccion
ALICIA MOREAU Bº Vª EL LIBERTADOR,Pilcomayo 5100,-64.2160491943359,-31.4704971313477,Escuela municipal,ALICIA MOREAU Bº Vª EL LIBERTADOR,"Córdoba, Argentina",NULL,CS 041 - Villa el Libertador
ALMA MIA,SANTA EULALIA 3108,-64.157028,-31.372361,Sala Cuna,ALMA MIA,"Córdoba, Argentina",NULL,CS 048 - Villa Azalais Este
Casa Pueblo Norte,Valerio Beta 7436,-64.2642391327113,-31.3252086224523,Centro Comunitario,Casa Pueblo Norte,"Córdoba, Argentina",NULL,CS 066 - Mercantil Anexo
APRENDEMOS JUGANDO,DE LOS TOSCANO N° 6166,-64.2243433,-31.3438421,Sala Cuna,APRENDEMOS JUGANDO,"Córdoba, Argentina",NULL,CS 054 - Los Boulevares
ARSENIO MURUGARREM Bº STA CECILIA,Amadeo Grass 4273,-64.2290573120117,-31.357328414917,Escuela municipal,ARSENIO MURUGARREM Bº STA CECILIA,"Córdoba, Argentina",NULL,CS 054 - Los Boulevares
ARCO IRIS DE TRAVESURAS,BARADAN Y BUSTILLO 3723,-64.1354722222222,-31.4567777777778,Sala Cuna,ARCO IRIS DE TRAVESURAS,"Córdoba, Argentina",NULL,CS 071 - Coop. el Arco
CAJITAS DE COLORES,SOCONCHO 3313,-64.1624119,-31.4508568,Sala Cuna,CAJITAS DE COLORES,"Córdoba, Argentina",NULL,CS 064 - Ona Biallet
" Casa Abierta ""El Aljibe""",RIO NEGRO 789,-64.2080810885327,-31.4190052840167,Centro Comunitario," Casa Abierta ""El Aljibe""","Córdoba, Argentina",NULL,CS 024 - Cupani
CECOPAR ANEXO,BV ILLIA N° 238,-64.1827744,-31.4218605,Sala Cuna,CECOPAR ANEXO,"Córdoba, Argentina",NULL,CS 043 - Guemes
ARCOS IRIS ILUSIÓN,MONTE DE OCA 3434,-64.141246,-31.4405117,Sala Cuna,ARCOS IRIS ILUSIÓN,"Córdoba, Argentina",NULL,CS 037 - Jose I. Diaz Il secc.
AZOR GRIMAUT Bº COMERCIAL,Sobremonte 6100,-64.2153167724609,-31.485050201416,Escuela municipal,AZOR GRIMAUT Bº COMERCIAL,"Córdoba, Argentina",NULL,CS 042 - Comercial
